Zip Code,Geographic Area Name,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races
10000,"Adams County, Pennsylvania",91460,1559,340,975,37,3850,5631
15213,"Allegheny County, Pennsylvania",946321,163678,1909,58541,357,14066,65706
15232,"Allegheny County, Pennsylvania",946321,163678,1909,58541,357,14066,65706
15217,"Allegheny County, Pennsylvania",946321,163678,1909,58541,357,14066,65706
15219,"Allegheny County, Pennsylvania",946321,163678,1909,58541,357,14066,65706
15222,"Allegheny County, Pennsylvania",946321,163678,1909,58541,357,14066,65706
10001,"Armstrong County, Pennsylvania",62513,445,66,160,14,199,2161
10002,"Beaver County, Pennsylvania",144954,11168,243,1028,59,1404,9359
10003,"Bedford County, Pennsylvania",45569,192,78,153,4,167,1414
10004,"Berks County, Pennsylvania",309107,21992,2252,6413,170,50270,38645
10005,"Blair County, Pennsylvania",113618,2533,164,878,13,780,4836
10006,"Bradford County, Pennsylvania",56026,404,136,465,14,284,2638
10007,"Bucks County, Pennsylvania",529895,26373,1173,35216,178,16821,36882
10008,"Butler County, Pennsylvania",179140,2243,234,2814,41,1403,7888
10009,"Cambria County, Pennsylvania",120248,5828,135,782,37,760,5682
10010,"Cameron County, Pennsylvania",4285,16,9,29,0,40,168
10011,"Carbon County, Pennsylvania",58531,1208,152,330,20,1346,3162
10012,"Centre County, Pennsylvania",131212,5476,202,11404,45,2073,7760
10013,"Chester County, Pennsylvania",413103,29526,1450,35252,133,18878,36071
10014,"Clarion County, Pennsylvania",35159,552,47,175,16,173,1119
10015,"Clearfield County, Pennsylvania",75093,1906,82,450,0,543,2488
10016,"Clinton County, Pennsylvania",35169,447,72,212,7,254,1289
10017,"Columbia County, Pennsylvania",59549,912,100,759,19,857,2531
10018,"Crawford County, Pennsylvania",77804,1530,124,374,26,529,3551
10019,"Cumberland County, Pennsylvania",214921,11081,513,13911,126,4796,14121
10020,"Dauphin County, Pennsylvania",180980,50868,799,17277,109,14866,21502
10021,"Delaware County, Pennsylvania",367718,129242,1092,36457,153,12149,30019
10022,"Elk County, Pennsylvania",29555,80,22,113,12,98,1110
10023,"Erie County, Pennsylvania",222731,20584,477,6380,60,4649,15995
10024,"Fayette County, Pennsylvania",115811,5789,213,383,161,716,5731
10025,"Forest County, Pennsylvania",5296,1237,9,19,0,281,131
10026,"Franklin County, Pennsylvania",134524,5338,488,1442,52,5155,8933
10027,"Fulton County, Pennsylvania",13767,128,31,41,3,54,532
10028,"Greene County, Pennsylvania",33027,1083,77,120,6,250,1391
10029,"Huntingdon County, Pennsylvania",39624,2271,56,210,17,546,1368
10030,"Indiana County, Pennsylvania",76277,2494,143,817,13,535,2967
10031,"Jefferson County, Pennsylvania",42470,131,45,100,8,147,1591
10032,"Juniata County, Pennsylvania",22084,133,24,69,8,453,738
10033,"Lackawanna County, Pennsylvania",179038,8350,570,6826,35,8334,12743
10034,"Lancaster County, Pennsylvania",452646,22394,1322,14147,169,27367,34939
10035,"Lawrence County, Pennsylvania",76303,3664,103,323,7,652,5018
10036,"Lebanon County, Pennsylvania",118410,3233,270,2234,82,9445,9583
10037,"Lehigh County, Pennsylvania",244505,27589,1487,13941,150,49199,37686
10038,"Luzerne County, Pennsylvania",257042,16226,888,4070,109,25207,22052
10039,"Lycoming County, Pennsylvania",100428,5835,221,933,31,1006,5734
10040,"McKean County, Pennsylvania",37273,867,110,199,2,176,1805
10041,"Mercer County, Pennsylvania",97516,6389,144,687,24,671,5221
10042,"Mifflin County, Pennsylvania",43644,388,59,169,2,348,1533
10043,"Monroe County, Pennsylvania",110959,24894,680,4080,74,11540,16100
10044,"Montgomery County, Pennsylvania",627566,81786,1904,68032,205,24545,52515
10045,"Montour County, Pennsylvania",16248,331,37,668,1,144,707
10046,"Northampton County, Pennsylvania",238475,19442,855,10041,114,18425,25599
10047,"Northumberland County, Pennsylvania",82821,2579,169,457,24,1847,3750
10048,"Perry County, Pennsylvania",43173,302,50,146,4,330,1837
19104,"Philadelphia County, Pennsylvania",582636,630462,6212,133553,932,139102,110900
19103,"Philadelphia County, Pennsylvania",582636,630462,6212,133553,932,139102,110900
19122,"Philadelphia County, Pennsylvania",582636,630462,6212,133553,932,139102,110900
19134,"Philadelphia County, Pennsylvania",582636,630462,6212,133553,932,139102,110900
19148,"Philadelphia County, Pennsylvania",582636,630462,6212,133553,932,139102,110900
10049,"Pike County, Pennsylvania",47203,3285,208,855,17,1923,5044
10050,"Potter County, Pennsylvania",15608,43,25,74,0,83,563
10051,"Schuylkill County, Pennsylvania",128205,4394,248,761,30,3747,5664
10052,"Snyder County, Pennsylvania",37328,539,50,299,12,313,1195
10053,"Somerset County, Pennsylvania",69290,1881,69,200,14,556,2119
10054,"Sullivan County, Pennsylvania",5439,85,9,20,0,52,235
10055,"Susquehanna County, Pennsylvania",36066,145,76,138,0,339,1670
10056,"Tioga County, Pennsylvania",38477,343,77,189,7,216,1736
10057,"Union County, Pennsylvania",36974,2583,102,822,8,601,1591
10058,"Venango County, Pennsylvania",47324,444,83,172,10,206,2215
10059,"Warren County, Pennsylvania",36447,149,76,157,5,130,1623
10060,"Washington County, Pennsylvania",188060,6958,301,2013,64,1491,10462
10061,"Wayne County, Pennsylvania",45795,1722,111,424,0,615,2488
10062,"Westmoreland County, Pennsylvania",324684,9188,419,3328,38,1740,15266
10063,"Wyoming County, Pennsylvania",24363,233,44,119,6,163,1141
10064,"York County, Pennsylvania",373200,27999,1116,6675,182,18626,28640